customer_id,first_name,last_name,email,phone_number,created_at
70,Emily,Rodriguez,christopherspence@morris.com,001-534-030-11098134,2024-02-04 13:28:32
71,Samantha,Price,hodgeaudrey@gmail.com,232-322-3510760,2020-03-05 11:22:12
72,Tammy,Chavez,thomaskyle@orozco.com,001-629-480-6549,2020-04-15 06:05:20
73,Dillon,Berg,chamberscarol@griffin.com,+1-376-548-8725133,2021-11-13 09:37:52
74,Shawn,Brown,sheila54@henderson.com,+1-332-380-7494441,2021-05-05 15:15:02
75,Gloria,Ferrell,joneschristopher@chang.com,15805749066646,2021-10-25 03:35:33
76,Veronica,Maldonado,englishrodney@gmail.com,(553)109-94778894,2021-10-28 07:34:58
77,Samuel,Austin,jamiebaker@lopez-arnold.biz,9506375057621,2022-08-12 19:07:32
78,Connie,Love,lararobert@atkinson-winters.biz,001-480-406-9050839,2023-02-17 02:50:02
79,Joseph,Myers,nmorris@yahoo.com,(842)727-5588,2023-10-15 17:29:50
80,Carrie,Hughes,jaimekline@hotmail.com,439-829-3760,2022-05-10 10:22:20
81,Christopher,Howard,john25@gmail.com,001-461-685-108048876,2021-12-15 05:08:18
82,Thomas,Steele,mckinneychristopher@adams.com,,2021-05-13 02:55:17
83,Derrick,Hansen,carmen20@yahoo.com,+1-435-569-6259,2023-06-09 22:19:14
84,Gabrielle,Curry,david57@hotmail.com,001-205-438-0008139,2024-09-27 19:51:44
85,Jason,Arellano,wgomez@hotmail.com,+1-405-154-6716107,2022-05-22 14:02:13
86,Glenda,Sampson,darrylford@meyers-peterson.org,(061)301-27804625,2021-04-16 12:14:36
87,John,Vargas,michele75@faulkner.org,062-756-012945,2022-05-06 18:53:11
88,Jose,Robinson,landryregina@cooper.com,2122256136808,2022-09-30 07:33:02
89,Melissa,Murray,richard15@fernandez-smith.biz,113-413-9311,2021-03-14 00:08:21
90,James,Moore,amy36@contreras-allen.com,07194326102666,2020-02-03 16:15:09
91,Larry,Lee,dpowers@hotmail.com,+1-407-986-0333883,2024-02-03 16:59:56
92,Andrea,Jenkins,piercejohn@gonzales.com,(406)192-5207,2022-07-31 01:21:22
93,Brenda,Edwards,harrisalexander@flores.com,61193783614071,2025-01-28 13:09:28
94,Denise,Sullivan,alyssa10@vaughn-scott.com,+1-434-260-4446,2021-03-24 18:42:42
95,Kathleen,Gardner,marilyn16@hotmail.com,001-065-411-3296274,2023-02-13 12:28:07
96,Brittany,Lopez,ysanchez@duncan.com,1498329366605,2021-07-05 15:29:03
97,Benjamin,Cantrell,crystal86@wells.com,143924382964356,2021-10-08 11:21:26
98,Bailey,Jones,carrollcharles@yahoo.com,001-660-204-066257909,2022-12-06 18:54:50
99,Adam,Perkins,uluna@smith.net,(675)384-0611255,2020-10-22 06:07:08
100,Patrick,Bond,daniel94@smith.net,916-323-180044661,2021-06-01 06:39:22
